Compound,OSA,OSB,OSC,EA,EB,EC,CAN,CNB,CNC,IRA,IRB,IRC,DA,DB,DC,BANDGAP
BaTiO3,2,4,-2,0.89,1.54,3.44,12,6,2,1.42E-10,6.10E-11,1.40E-10,3.51,4.5,0.001429,2.14
BaZrO3,2,4,-2,0.89,1.33,3.44,12,6,2,1.42E-10,8.40E-11,1.40E-10,3.51,6.4,0.001429,3.04
BaZrS3,2,4,-2,0.89,1.33,2.58,12,6,2,1.42E-10,8.40E-11,1.84E-10,3.51,6.4,2.07,1.02
CuTaS3,1,5,-2,1.9,1.5,2.58,6,2,2,7.30E-11,6.40E-11,1.84E-10,8.96,16.6,2.07,0.98
CsNbSe3,1,5,-2,0.79,1.6,2.55,12,6,2,1.81E-10,6.40E-11,5.00E-11,1.87,8.57,4.79,1.47
CsNbS3,1,5,-2,0.79,1.6,2.58,12,6,2,1.74E-10,6.40E-11,1.84E-10,1.87,8.57,2.07,0.73
CsTaO3,1,5,-2,0.79,1.5,3.44,12,6,2,1.74E-10,6.40E-11,1.40E-10,1.87,16.6,0.001429,1.863
CaZrO3,2,5,-2,1,1.33,3.44,12,6,2,1.00E-10,8.40E-11,1.40E-10,1.55,6.4,0.001429,5.7
SrTiO3,2,4,-2,1,1.54,3.44,12,6,2,1.26E-10,6.10E-11,1.40E-10,2.6,4.5,0.001429,3.54
SrZrO3,2,4,-2,1,1.33,3.44,12,6,2,1.26E-10,8.40E-11,1.40E-10,2.6,6.4,0.001429,5.6
AsSiSe3,5,4,-2,2.18,1.9,2.55,3,4,2,5.80E-11,2.60E-11,5.00E-11,5.72,2.3,4.79,0.57
BiSiS3,3,4,-2,1.9,1.9,2.58,6,4,2,1.03E-10,2.60E-11,1.84E-10,9.8,2.3,2.07,0.9
InGaS3,3,3,-2,1.78,1.81,2.58,3,4,2,8.00E-11,6.20E-11,1.84E-10,7.31,5.907,2.07,0.76
InGeSe3,3,3,-2,1.78,2.01,2.55,6,4,2,8.00E-11,5.30E-11,5.00E-11,7.31,5.323,4.79,0.73
InSiSe3,3,4,-2,1.78,1.9,2.55,6,4,2,8.00E-11,2.60E-11,5.00E-11,7.31,2.3,4.79,0.91
SbSiSe3,5,4,-2,2.05,1.9,2.55,3,4,2,7.60E-11,2.60E-11,5.00E-11,6.684,2.3,4.79,0.53
AsInS3,3,3,-2,2.18,1.78,2.58,6,4,2,5.80E-11,1.04E-10,1.84E-10,5.72,7.3,2.07,1.03
PInSe3,5,3,-2,2.19,1.78,2.55,4,6,2,1.70E-11,1.04E-10,5.00E-11,1.82,7.3,4.79,0.66
AsAlSe3,5,1,-2,2.18,1.61,2.55,3,6,2,5.80E-11,5.40E-11,5.00E-11,5.72,2.702,4.79,0.91
AsBiSe3,5,1,-2,2.18,1.9,2.55,3,6,2,5.80E-11,1.03E-10,5.00E-11,5.72,9.8,4.79,0.5
AsBiS3,5,1,-2,2.18,1.9,2.58,3,6,2,4.75E-11,1.03E-10,1.84E-10,5.72,9.8,2.07,0.88
AsPSe3,1,5,-2,2.18,2.19,2.55,3,4,2,4.75E-11,1.70E-11,5.00E-11,5.72,1.82,4.79,0.42
AsSbSe3,5,1,-2,2.18,2.05,2.55,3,6,2,4.75E-11,7.60E-11,5.00E-11,5.72,6.684,4.79,0.49
BiAsSe3,5,1,-2,1.9,2.18,2.55,3,6,2,1.03E-10,7.20E-11,5.00E-11,9.8,5.72,4.79,0.94
